Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Day_Perc_Change,Trend,Rolling_14,Std_14,Upper_band,Lower_band
2018-04-05,AXISBANK,EQ,492.25,498.4,504.65,495.2,502.9,503.1,499.36,6682587,3337037554.95,53528,2996912,44.85,2.204164550533272,Positive,511.6249999999999,11.535776290109464,534.6965525802188,488.553447419781
2018-04-06,AXISBANK,EQ,503.1,502.95,502.95,495.2,498.75,500.2,498.9,3812133,1901889025.45,43750,936810,24.57,-0.5764261578215079,Slight negative,509.52142857142843,10.646933727710906,530.8152960268502,488.2275611160066
2018-04-09,AXISBANK,EQ,500.2,502.2,522.0,501.2,517.4,519.3,515.25,8708770,4487150481.3,97950,2798268,32.13,3.8184726109556033,Among top gainers,509.28571428571416,10.367987501691701,530.0216892890976,488.54973928233073
2018-04-10,AXISBANK,EQ,519.3,523.0,549.7,521.4,547.5,546.15,538.72,21689156,11684273812.8,190731,6069270,27.98,5.170421721548246,Among top gainers,511.192857142857,14.148061258091328,539.4889796590396,482.89673462667434
2018-04-11,AXISBANK,EQ,546.15,550.1,551.0,534.0,540.0,539.8,539.64,9261807,4998046106.35,96508,1359069,14.67,-1.162684244255241,Negative,512.5285714285712,15.926317289871115,544.3812060083135,480.675936848829
2018-04-12,AXISBANK,EQ,539.8,537.3,550.0,534.85,546.1,548.75,544.02,8021652,4363920868.75,71391,2249882,28.05,1.6580214894405418,Positive,514.1321428571426,18.36333729455159,550.8588174462458,477.40546826803944
2018-04-13,AXISBANK,EQ,548.75,550.0,555.55,535.75,543.5,542.55,546.72,8788919,4805072053.55,82524,1377306,15.67,-1.1298405466970474,Negative,515.8714285714284,19.869639715345688,555.6107080021197,476.132149140737
2018-04-16,AXISBANK,EQ,542.55,541.5,543.8,530.35,542.9,542.4,536.51,6418203,3443456917.55,63917,1589477,24.77,-0.027647221454241144,Slight or No change,518.9357142857141,20.450159192267105,559.8360326702483,478.03539590117987
2018-04-17,AXISBANK,EQ,542.4,544.95,544.95,530.25,532.45,532.4,535.26,5541004,2965896231.2,70846,1965493,35.47,-1.8436578171091456,Negative,520.7285714285712,20.45184507649665,561.6322615815644,479.82488127557787
2018-04-18,AXISBANK,EQ,532.4,535.5,535.5,516.5,517.7,518.25,526.14,7131174,3752007708.45,76698,2725789,38.22,-2.6577761081893247,Negative,521.1607142857141,20.321277013283446,561.803268312281,480.51816025914724
2018-04-19,AXISBANK,EQ,518.25,521.0,521.45,509.1,514.4,512.9,511.88,10559623,5405241559.45,71717,6646075,62.94,-1.032320308731316,Negative,521.3321428571427,20.234363451459664,561.800869760062,480.86341595422334
2018-04-20,AXISBANK,EQ,512.9,513.5,513.85,503.0,506.9,505.7,507.32,4437940,2251470255.35,52472,1700797,38.32,-1.4037824137258736,Negative,521.8071428571426,19.74314737147854,561.2934376000997,482.32084811418554
2018-04-23,AXISBANK,EQ,505.7,508.4,511.2,500.0,506.85,506.2,506.47,4766412,2414025792.6,64889,1177916,24.71,0.09887284951553,Slight or No change,522.1392857142854,19.412487838141338,560.964261390568,483.3143100380027
2018-04-24,AXISBANK,EQ,506.2,506.0,514.75,503.35,507.75,504.85,507.51,4564259,2316415190.35,55541,1381793,30.27,-0.2666930067167006,Slight or No change,523.0392857142855,18.17265674844361,559.3845992111727,486.69397221739825
2018-04-25,AXISBANK,EQ,504.85,506.0,506.0,496.3,497.4,498.4,500.61,4608455,2307048190.1,70727,1554043,33.72,-1.2776072100624036,Negative,522.7035714285711,18.607550827614265,559.9186730837996,485.48846977334256
2018-04-26,AXISBANK,EQ,498.4,496.75,501.05,483.3,490.9,493.75,492.53,14919977,7348545170.85,126267,9248954,61.99,-0.93298555377207,Slight negative,522.2428571428569,19.2754512781951,560.7937596992471,483.6919545864667
2018-04-27,AXISBANK,EQ,493.75,481.25,543.1,481.25,540.0,539.2,522.41,58859461,30748720572.15,471549,10876060,18.48,9.20506329113926,Bull run,523.6642857142854,19.769162355037434,563.2026104243603,484.1259610042105
2018-04-30,AXISBANK,EQ,539.2,535.8,536.1,513.4,518.5,517.3,520.29,18357008,9550889152.45,166443,6322312,34.44,-4.0615727002967565,Among top losers,521.6035714285712,18.720828222616415,559.045227873804,484.16191498333836
